2025/04/19 12:20:03 DBtype POSTGRES
2025/04/19 12:20:03 IN postgres
2025/04/19 12:20:03 postgres localDBtype
2025/04/19 12:22:14 RefreshSalesData + 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 selectIds + 
2025/04/19 12:22:14 selectIds - 
2025/04/19 12:22:14 RefreshSalesData - 
2025/04/19 12:35:16 RefreshSalesData + 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 selectIds + 
2025/04/19 12:35:16 selectIds - 
2025/04/19 12:35:16 RefreshSalesData - 
2025/04/19 12:35:17 RefreshSalesData + 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 selectIds + 
2025/04/19 12:35:17 selectIds - 
2025/04/19 12:35:17 RefreshSalesData - 
